,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,Unusual
22066,6:45,7CLTE,0.101,0.707,0.636,0.06,15.382,0.638,1.071,0.01,3.0,2.0,5,0
29406,16:45,10CLTE,4.776,0.697,0.152,0.021,5.439,0.272,1.055,1.005,4.0,2.0,6,1
23547,15:15,4BLTE,23.646,2.021,0.467,0.078,21.397,1.204,1.384,1.142,6.0,5.0,11,0
1185,19:00,8BLTE,18.492,2.627,0.64,0.09,13.642,0.906,1.374,1.152,7.0,5.0,12,0
34704,23:30,6VLTE,1.415,3.133,0.33,0.035,9.399,0.336,1.182,0.01,5.0,3.0,8,0
29613,14:00,4CLTE,20.614,4.446,0.9,0.079,16.41,0.756,1.435,1.475,7.0,5.0,12,0
15470,13:00,3BLTE,22.13,2.526,0.507,0.103,10.149,2.159,1.364,1.293,6.0,5.0,11,0
24146,23:00,2ALTE,0.808,0.404,0.011,0.011,0.174,0.072,1.011,0.01,1.0,1.0,2,0
36375,14:30,6WLTE,4.08,1.791,0.189,0.126,9.611,1.964,1.323,0.01,5.0,4.0,9,1
28829,18:15,8CLTE,4.279,1.393,0.365,0.033,8.593,0.546,1.035,1.005,3.0,2.0,5,1
35249,19:30,6ULTE,4.749,13.035,3.305,0.129,62.204,1.459,1.465,0.01,7.0,5.0,12,0
9972,19:15,7CLTE,0.909,2.223,0.81,0.097,40.647,2.257,1.556,0.01,6.0,3.0,9,0
5704,14:30,10BLTE,7.175,0.909,0.206,0.037,19.346,1.756,1.112,1.021,4.0,3.0,7,0
11452,19:30,7ULTE,2.425,3.234,0.49,0.053,12.037,0.892,1.202,0.01,5.0,3.0,8,0
21750,15:30,1CLTE,28.193,3.234,0.717,0.089,24.157,0.993,1.455,1.364,7.0,7.0,14,0
22277,2:00,4ALTE,3.84,0.505,0.023,0.01,0.876,0.17,1.031,1.021,3.0,2.0,5,0
28467,11:30,6WLTE,1.617,3.436,0.313,0.038,9.32,0.645,1.243,0.01,6.0,3.0,9,0
31724,5:45,8CLTE,0.202,0.404,0.03,0.01,0.679,0.113,1.011,1.011,1.0,1.0,2,0
32626,4:45,7ULTE,0.101,1.213,0.364,0.017,6.184,0.215,1.021,0.01,2.0,2.0,4,0
22978,22:45,9BLTE,7.074,1.415,0.416,0.043,13.085,0.542,1.081,1.031,3.0,3.0,6,0
26314,12:00,7BLTE,0.505,1.92,0.661,0.058,21.799,0.668,1.354,0.01,6.0,3.0,9,0
8130,18:30,3CLTE,4.547,0.707,0.145,0.015,10.764,0.215,1.051,1.021,3.0,2.0,5,0
24510,23:45,1BLTE,18.189,3.032,0.953,0.077,39.012,0.895,1.314,1.091,6.0,4.0,10,0
32155,7:15,10ALTE,3.133,0.909,0.456,0.026,32.625,1.943,1.041,1.021,3.0,2.0,5,0
22926,20:15,3BLTE,10.61,1.718,0.359,0.039,10.164,0.516,1.152,1.081,5.0,3.0,8,0
28070,13:15,7BLTE,0.505,1.213,0.358,0.054,17.059,1.099,1.374,0.01,6.0,3.0,9,0
20577,19:45,10BLTE,5.76,1.011,0.267,0.028,16.21,0.442,1.091,1.021,3.0,3.0,6,0
14154,1:00,8ALTE,5.373,0.697,0.154,0.019,5.436,0.27,1.045,1.005,3.0,2.0,5,1
16236,13:15,5CLTE,23.747,7.175,1.494,0.133,25.872,1.212,1.647,1.273,9.0,6.0,15,0
21865,15:30,6ALTE,17.583,2.425,0.852,0.12,21.26,4.225,1.344,0.01,6.0,4.0,10,0
35025,20:30,1BLTE,18.492,2.93,0.735,0.077,25.446,0.572,1.304,1.091,6.0,4.0,10,0
19702,10:00,4ALTE,4.345,0.606,0.086,0.015,4.957,0.408,1.051,1.031,3.0,3.0,6,0
16409,1:30,7WLTE,0.303,1.213,0.357,0.014,20.67,0.219,1.041,0.01,3.0,2.0,5,0
1974,18:45,3CLTE,6.669,0.606,0.067,0.019,2.823,0.511,1.061,1.021,3.0,2.0,5,0
10879,22:45,1CLTE,32.942,4.749,1.396,0.179,15.113,0.81,2.102,1.869,10.0,8.0,18,0
36282,16:00,8ALTE,17.684,2.526,0.64,0.069,26.06,1.098,1.334,1.142,6.0,5.0,11,0
3921,19:15,4BLTE,17.811,2.289,0.691,0.097,13.289,4.199,1.353,1.114,7.0,5.0,12,1
33546,20:45,10ALTE,8.69,4.446,1.386,0.05,13.709,0.698,1.101,1.051,3.0,3.0,6,0
17862,7:30,4CLTE,8.286,1.819,0.701,0.09,34.543,6.356,1.091,1.051,4.0,3.0,7,0
28987,10:00,4BLTE,27.486,4.143,1.038,0.134,19.291,2.967,1.637,1.324,7.0,5.0,12,0
32055,15:30,3BLTE,23.949,4.446,1.123,0.094,25.452,1.719,1.415,1.273,6.0,5.0,11,0
33560,2:30,5ALTE,1.112,0.505,0.095,0.017,2.223,0.174,1.011,1.011,2.0,1.0,3,0
1209,5:00,1ALTE,1.213,0.505,0.15,0.02,12.576,0.277,1.021,1.011,2.0,2.0,4,0
18541,9:45,6BLTE,15.663,4.749,1.483,0.08,29.961,9.232,1.223,0.01,5.0,4.0,9,0
26488,20:30,8CLTE,5.473,1.095,0.354,0.041,16.684,0.576,1.095,1.025,4.0,3.0,7,1
32877,14:30,4BLTE,20.398,2.886,1.097,0.263,25.152,19.32,1.373,1.174,6.0,5.0,11,1
14410,17:15,2ALTE,0.202,0.404,0.003,0.002,0.006,0.002,1.011,0.01,1.0,1.0,2,0
7242,7:45,7VLTE,0.299,0.896,0.126,0.017,4.004,0.185,1.005,0.01,3.0,2.0,5,1
22522,9:15,5ALTE,8.791,1.617,0.281,0.034,6.183,0.799,1.122,1.031,4.0,3.0,7,0
20271,14:45,9ALTE,4.577,1.891,0.713,0.048,16.525,0.615,1.035,1.005,3.0,2.0,5,1
7461,1:45,6ALTE,3.383,0.697,0.234,0.03,14.219,0.641,1.045,0.01,4.0,2.0,6,1
30803,18:30,7CLTE,0.299,1.095,0.744,0.057,28.889,1.561,1.114,0.01,4.0,3.0,7,1
7430,19:00,6ULTE,3.537,5.255,0.693,0.081,14.492,0.763,1.475,0.01,6.0,4.0,10,0
22801,19:00,10ALTE,8.657,1.194,0.259,0.032,6.869,0.423,1.085,1.035,4.0,3.0,7,1
9010,14:15,4CLTE,15.663,4.042,1.11,0.077,31.192,0.834,1.283,1.202,6.0,5.0,11,0
33545,15:30,5ALTE,4.279,0.796,0.297,0.028,13.431,0.338,1.055,1.015,3.0,3.0,6,1
21926,12:00,4CLTE,14.45,2.223,0.435,0.049,17.349,0.75,0.0,0.0,,,,0
145,7:30,1BLTE,4.042,0.808,0.191,0.025,6.438,0.586,1.051,1.011,3.0,3.0,6,0
33988,17:30,7CLTE,0.1,0.498,0.054,0.015,3.478,0.157,1.025,0.01,3.0,2.0,5,1
30732,17:30,7VLTE,1.819,8.69,1.463,0.072,25.646,0.863,1.374,0.01,5.0,3.0,8,0
1628,20:00,7CLTE,0.808,1.516,0.658,0.082,56.849,2.905,1.546,0.01,5.0,3.0,8,0
2356,7:30,9ALTE,1.493,0.498,0.068,0.01,5.785,0.204,0.995,0.995,2.0,2.0,4,1
16781,22:30,5BLTE,11.621,1.112,0.276,0.031,14.222,0.457,1.122,1.081,4.0,3.0,7,0
12604,5:30,7VLTE,0.101,1.516,0.511,0.027,9.411,0.549,1.051,0.01,2.0,2.0,4,0
20852,10:45,6ULTE,4.244,7.377,2.341,0.213,27.983,8.348,1.96,0.01,7.0,4.0,11,0
6384,16:15,5ALTE,6.766,0.796,0.169,0.078,5.281,1.371,1.075,1.005,4.0,3.0,7,1
23091,20:15,3ALTE,12.934,1.718,0.469,0.035,12.965,0.359,1.162,1.061,5.0,3.0,8,0
7477,5:00,6ULTE,0.202,0.808,0.066,0.006,0.789,0.072,1.021,0.01,2.0,2.0,4,0
10277,13:15,8CLTE,4.677,0.697,0.203,0.044,27.126,3.602,1.075,1.005,4.0,3.0,7,1
7870,14:30,5ALTE,3.98,0.697,0.131,0.021,6.968,0.376,1.035,1.005,3.0,2.0,5,1
32026,14:15,1BLTE,17.987,1.819,0.377,0.157,13.588,6.885,1.243,1.101,5.0,4.0,9,0
31610,18:00,7BLTE,0.707,2.021,0.664,0.106,19.247,16.286,1.445,0.01,6.0,3.0,9,0
15953,10:30,6VLTE,1.718,2.425,0.382,0.068,20.073,3.317,1.162,0.01,4.0,4.0,8,0
22382,3:15,8ALTE,10.746,2.587,1.07,0.089,30.343,1.742,1.134,1.035,4.0,4.0,8,1
2956,23:00,8CLTE,4.975,0.796,0.299,0.04,18.197,1.644,1.095,1.005,5.0,2.0,7,1
4557,8:45,3ALTE,23.242,5.053,1.149,0.109,17.612,2.091,1.405,1.162,6.0,5.0,11,0
6426,2:00,8ALTE,6.669,1.213,0.378,0.035,8.349,0.384,1.101,1.031,5.0,3.0,8,0
14692,14:15,6ULTE,5.053,3.234,0.602,0.239,40.202,10.784,1.445,0.01,6.0,5.0,11,0
27181,22:45,10BLTE,1.393,0.498,0.111,0.018,8.748,0.745,1.005,0.995,2.0,2.0,4,1
16020,0:30,10ALTE,9.6,0.707,0.125,0.027,8.719,0.603,1.081,1.021,4.0,3.0,7,0
11954,13:45,8ALTE,26.778,4.951,1.451,0.141,48.222,1.416,1.627,1.314,8.0,7.0,15,0
28548,12:00,3BLTE,12.04,2.09,0.538,0.048,19.589,0.626,1.164,1.104,5.0,4.0,9,1
3069,22:30,7BLTE,0.199,0.697,0.122,0.026,6.773,0.428,1.154,0.01,5.0,2.0,7,1
4054,11:30,5CLTE,24.555,2.93,0.999,0.113,39.724,2.432,1.506,1.172,7.0,5.0,12,0
31905,11:30,7CLTE,0.606,1.718,0.641,0.056,14.643,0.769,1.405,0.01,6.0,3.0,9,0
5811,10:45,2ALTE,0.202,0.404,0.01,0.006,0.057,0.025,1.011,0.01,1.0,1.0,2,0
22342,19:15,6ULTE,1.112,1.718,0.217,0.04,14.387,0.861,1.182,0.01,4.0,3.0,7,0
28171,20:00,9ALTE,2.223,0.606,0.097,0.021,3.406,0.224,1.051,1.011,3.0,2.0,5,0
30371,18:45,5BLTE,17.583,6.77,2.379,0.113,47.552,0.996,1.506,1.152,7.0,5.0,12,0
24532,9:00,6ULTE,1.92,3.739,1.103,0.088,63.949,3.063,1.415,0.01,6.0,4.0,10,0
19227,20:30,5CLTE,10.746,1.692,0.315,0.032,11.936,0.486,1.124,1.035,4.0,3.0,7,1
25175,4:00,6WLTE,1.393,1.99,0.202,0.039,5.015,0.58,1.065,0.01,3.0,3.0,6,1
16824,14:00,6WLTE,1.617,6.164,1.328,0.077,25.675,0.749,1.344,0.01,6.0,3.0,9,0
27819,4:30,9BLTE,2.587,0.398,0.008,0.009,0.218,0.195,1.015,0.995,2.0,2.0,4,1
32608,6:45,3CLTE,0.606,0.404,0.036,0.01,1.006,0.128,1.021,1.011,2.0,1.0,3,0
20541,9:30,6ALTE,10.61,1.112,0.278,0.045,15.099,3.526,1.112,0.01,4.0,3.0,7,0
34417,1:45,5ALTE,1.592,0.597,0.196,0.022,4.165,0.196,1.005,0.995,3.0,2.0,5,1
5272,7:15,4ALTE,1.516,0.505,0.268,0.017,11.063,0.338,1.021,1.011,2.0,2.0,4,0
17520,21:30,1BLTE,19.806,3.638,1.087,0.123,22.038,1.32,1.445,1.233,7.0,5.0,12,0
36269,19:15,6ALTE,13.541,1.819,0.522,0.053,31.046,1.369,1.162,0.01,4.0,3.0,7,0
10045,22:45,6ALTE,3.383,0.697,0.212,0.03,12.606,0.556,1.075,0.01,4.0,2.0,6,1
29533,16:30,6ALTE,11.014,2.425,0.884,0.064,76.793,1.337,1.182,0.01,5.0,3.0,8,0
29071,15:30,4CLTE,19.2,3.032,0.745,0.07,36.198,1.533,1.283,1.233,6.0,6.0,12,0
24116,19:30,10BLTE,5.274,0.896,0.242,0.029,6.837,0.585,1.065,0.995,3.0,2.0,5,1
16505,0:45,7WLTE,0.202,1.011,0.214,0.021,7.822,0.368,1.031,0.01,2.0,2.0,4,0
28790,9:45,6ULTE,2.122,2.627,0.496,0.072,27.975,2.025,1.344,0.01,6.0,3.0,9,0
25898,9:30,5BLTE,37.085,2.93,0.877,0.091,12.357,0.62,1.384,1.192,7.0,5.0,12,0
24650,19:30,6VLTE,2.829,4.143,0.498,0.076,18.327,1.167,1.364,0.01,7.0,5.0,12,0
16242,4:30,8BLTE,2.223,0.505,0.175,0.015,3.102,0.269,1.021,1.011,2.0,2.0,4,0
31705,15:00,9ALTE,10.913,2.425,0.711,0.072,30.288,1.626,1.273,1.101,5.0,4.0,9,0
4869,11:45,7WLTE,3.133,4.345,0.644,0.094,20.75,1.274,1.607,0.01,7.0,4.0,11,0
12796,23:30,4BLTE,11.722,2.93,0.628,0.059,20.969,0.764,1.202,1.061,5.0,3.0,8,0
9012,8:00,7ULTE,1.314,2.627,0.386,0.049,13.434,0.748,1.162,0.01,4.0,3.0,7,0
29805,18:30,8ALTE,20.614,2.93,0.864,0.101,19.611,0.627,1.374,1.223,6.0,5.0,11,0
3515,21:30,10BLTE,2.388,1.393,0.679,0.03,32.181,0.401,1.025,1.005,3.0,2.0,5,1
8032,11:30,5BLTE,12.139,0.995,0.211,0.028,23.602,0.477,1.075,1.015,3.0,3.0,6,1
7669,3:45,1CLTE,17.785,1.617,0.33,0.037,27.942,0.646,1.122,1.031,4.0,3.0,7,0
22469,14:30,5ALTE,11.52,1.314,0.326,0.04,7.909,0.593,1.162,1.051,4.0,3.0,7,0
21940,0:00,3BLTE,9.802,2.122,0.462,0.056,18.114,0.653,1.273,1.051,5.0,5.0,10,0
7262,12:15,10CLTE,7.579,0.808,0.094,0.022,6.93,0.374,1.122,1.051,4.0,3.0,7,0
19104,20:15,3ALTE,9.701,1.819,0.54,0.058,23.88,1.112,1.162,1.051,4.0,3.0,7,0
18955,23:15,8BLTE,8.488,1.112,0.29,0.043,12.491,0.654,1.142,1.051,4.0,3.0,7,0
12404,8:15,7WLTE,0.909,2.223,0.309,0.034,12.162,0.438,1.122,0.01,5.0,2.0,7,0
12712,15:45,9BLTE,5.356,1.617,0.305,0.02,6.624,0.341,1.051,1.021,3.0,2.0,5,0
18055,12:00,6CLTE,7.074,0.707,0.133,0.023,13.236,0.726,1.071,0.01,4.0,3.0,7,0
10904,17:30,5CLTE,20.21,2.829,0.647,0.083,13.811,1.723,1.293,1.101,6.0,5.0,11,0
9380,4:00,8BLTE,2.223,0.707,0.188,0.018,8.948,0.618,1.021,1.011,2.0,2.0,4,0
16386,4:30,6VLTE,0.202,0.808,0.021,0.011,0.202,0.089,1.011,0.01,2.0,2.0,4,0
33888,5:30,1CLTE,13.035,0.808,0.075,0.015,2.725,0.183,1.061,1.021,4.0,2.0,6,0
17687,10:30,7VLTE,2.324,3.133,0.257,0.085,12.823,0.508,1.283,0.01,5.0,3.0,8,0
15085,14:00,6ULTE,1.99,3.781,0.562,0.061,18.409,6.863,1.164,0.01,4.0,3.0,7,1
17662,22:00,1BLTE,19.907,3.638,0.803,0.098,25.226,0.934,1.425,1.223,6.0,5.0,11,0
34923,14:00,1ALTE,21.221,2.728,0.932,0.097,32.387,1.062,1.344,1.091,6.0,5.0,11,0
29840,0:30,1ALTE,7.175,0.707,0.078,0.024,7.148,0.475,1.081,1.021,3.0,3.0,6,0
27513,16:30,4BLTE,29.608,5.356,1.627,0.151,27.379,0.993,1.657,1.253,7.0,5.0,12,0
24363,9:15,6BLTE,16.37,9.398,5.191,0.66,55.988,45.708,1.172,0.01,4.0,3.0,7,0
29000,10:00,1ALTE,24.05,5.356,2.141,0.148,41.692,1.284,1.526,1.152,8.0,6.0,14,0
23346,22:45,8ALTE,14.753,1.314,0.407,0.054,17.014,0.728,1.192,1.051,5.0,3.0,8,0
24300,8:15,6ULTE,0.697,0.896,0.095,0.008,4.169,0.228,1.035,0.01,3.0,2.0,5,1
17604,2:30,4CLTE,5.154,0.505,0.041,0.012,0.977,0.254,1.051,1.021,3.0,2.0,5,0
4812,2:15,6ULTE,0.202,0.808,0.045,0.015,0.682,1.182,1.031,0.01,3.0,3.0,6,0
20046,4:00,8BLTE,0.909,0.404,0.018,0.008,0.281,0.161,1.021,1.011,2.0,1.0,3,0
8513,3:15,10ALTE,1.891,0.498,0.095,0.021,7.111,0.287,1.005,0.995,2.0,2.0,4,1
32614,18:45,1ALTE,27.688,5.255,1.8,0.204,25.427,4.841,1.748,1.304,8.0,6.0,14,0
15190,6:15,4CLTE,5.871,0.697,0.115,0.024,4.429,0.806,1.055,1.005,3.0,2.0,5,1
33148,3:45,1CLTE,15.562,0.909,0.422,0.021,86.212,1.341,1.071,1.021,4.0,3.0,7,0
12887,9:45,4BLTE,22.938,3.335,0.965,0.101,38.783,3.322,1.415,1.132,6.0,5.0,11,0
31219,11:30,6ALTE,5.174,2.09,0.853,0.039,40.739,0.998,1.055,0.01,3.0,2.0,5,1
11785,10:15,3CLTE,12.833,4.446,1.076,0.079,19.692,4.394,1.233,1.122,5.0,5.0,10,0
13457,10:00,6ULTE,0.0,0.0,1.028,0.077,32.451,0.739,1.405,0.01,6.0,3.0,9,0
10356,3:00,9ALTE,0.303,0.404,0.007,0.006,0.073,0.047,1.011,1.011,1.0,1.0,2,0
3761,0:30,6BLTE,10.913,1.92,0.671,0.051,21.076,5.472,1.162,0.01,6.0,3.0,9,0
14789,3:30,6VLTE,1.819,3.234,0.822,0.045,19.667,0.568,1.081,0.01,4.0,3.0,7,0
14048,3:45,5ALTE,0.707,0.404,0.091,0.012,3.102,0.186,1.011,1.011,2.0,1.0,3,0
17679,17:30,7VLTE,0.808,2.627,0.257,0.033,9.194,0.575,1.091,0.01,4.0,2.0,6,0
2612,23:15,10CLTE,8.657,3.284,0.479,0.049,6.997,3.783,1.144,1.015,4.0,3.0,7,1
32094,2:00,7WLTE,0.303,1.213,0.122,0.015,2.244,0.657,1.071,0.01,3.0,2.0,5,0
15260,13:45,1ALTE,22.635,2.627,0.778,0.095,26.902,0.966,1.425,1.182,7.0,5.0,12,0
8394,8:45,10ALTE,24.353,3.234,0.949,0.107,18.338,0.937,1.455,1.253,7.0,5.0,12,0
33405,11:00,4ALTE,4.143,1.112,0.328,0.05,14.387,4.37,1.091,1.021,3.0,2.0,5,0
2595,20:15,4BLTE,30.012,3.739,1.227,0.195,35.493,1.26,1.688,1.293,7.0,7.0,14,0
3568,4:45,1CLTE,11.621,0.606,0.063,0.016,16.041,0.572,1.071,1.021,3.0,2.0,5,0
35394,18:30,5ALTE,6.468,1.692,0.76,0.037,35.347,0.501,1.104,1.015,4.0,3.0,7,1
17041,15:15,6ALTE,15.663,2.324,1.084,0.057,20.137,0.607,1.223,0.01,5.0,3.0,8,0
642,6:15,5CLTE,3.032,0.606,0.077,0.007,7.281,0.291,1.021,1.011,2.0,1.0,3,0
16479,12:00,10CLTE,3.682,0.498,0.027,0.012,0.965,0.238,1.015,0.995,3.0,2.0,5,1
13614,12:45,7BLTE,0.404,1.112,0.292,0.058,7.675,0.655,1.354,0.01,7.0,4.0,11,0
34208,2:30,6ULTE,0.202,0.808,0.031,0.026,0.713,0.191,1.031,0.01,3.0,2.0,5,0
4109,6:45,3ALTE,3.436,0.505,0.075,0.02,4.415,0.388,1.051,1.021,3.0,2.0,5,0
14770,22:15,7BLTE,0.199,0.896,0.294,0.036,31.057,0.783,1.164,0.01,5.0,2.0,7,1
17252,11:00,4CLTE,12.537,2.985,0.838,0.07,13.408,0.534,1.313,1.075,5.0,4.0,9,1
17183,16:00,10CLTE,3.133,0.606,0.126,0.024,5.759,0.594,1.081,1.021,4.0,3.0,7,0
16870,10:15,6ALTE,14.349,3.032,1.02,0.076,45.559,1.776,1.202,0.01,6.0,3.0,9,0
32624,7:00,3ALTE,7.377,1.011,0.258,0.031,14.071,0.856,1.061,1.021,4.0,3.0,7,0
13926,4:15,6BLTE,7.662,6.766,4.721,0.649,54.788,45.542,1.085,0.01,4.0,3.0,7,1
20209,16:30,1CLTE,26.778,4.143,1.063,0.114,27.031,1.435,1.546,1.243,7.0,6.0,13,0
599,8:00,3CLTE,5.356,0.707,0.122,0.026,4.526,0.949,1.061,1.021,3.0,3.0,6,0
32018,22:15,5BLTE,18.593,5.154,0.769,0.115,10.676,0.879,1.334,1.566,7.0,6.0,13,0
20961,11:45,1CLTE,24.454,2.526,0.519,0.084,8.313,0.566,1.405,1.344,7.0,6.0,13,0
4103,9:45,9BLTE,4.749,0.505,0.051,0.029,1.422,0.724,1.031,1.011,3.0,2.0,5,0
25123,7:15,6BLTE,5.962,4.042,2.549,0.38,48.879,46.915,1.061,0.01,3.0,3.0,6,0
27167,5:30,1BLTE,2.289,0.697,0.29,0.097,26.901,4.375,1.005,0.995,2.0,2.0,4,1
7820,15:45,10CLTE,5.053,1.011,0.258,0.026,10.032,0.279,1.061,1.021,3.0,3.0,6,0
2518,16:00,1BLTE,18.29,3.335,0.953,0.111,21.875,1.274,1.384,1.081,6.0,4.0,10,0
17377,20:00,3ALTE,15.522,3.682,0.625,0.063,13.952,0.43,1.303,1.294,6.0,5.0,11,1
20343,23:00,8BLTE,5.861,1.011,0.208,0.035,7.641,0.498,1.152,1.061,5.0,3.0,8,0
21170,7:00,3ALTE,6.568,0.707,0.142,0.066,4.23,4.507,1.071,1.021,3.0,3.0,6,0
28564,6:00,10CLTE,1.819,0.505,0.053,0.013,2.156,0.205,1.021,1.011,2.0,2.0,4,0
33909,9:00,7ULTE,0.597,0.995,0.063,0.017,4.371,0.297,1.045,0.01,3.0,2.0,5,1
8126,14:45,7VLTE,2.829,4.951,0.502,0.099,12.925,0.859,1.475,0.01,6.0,4.0,10,0
20402,9:00,4BLTE,8.756,1.095,0.23,0.02,15.404,0.421,1.114,1.005,4.0,3.0,7,1
8948,4:15,1BLTE,2.122,0.606,0.173,0.019,7.867,0.441,1.031,1.011,4.0,2.0,6,0
33509,5:30,6WLTE,0.398,0.896,0.075,0.012,2.082,0.551,1.085,0.01,3.0,2.0,5,1
1537,6:15,6VLTE,0.707,1.92,0.409,0.038,26.015,0.622,1.112,0.01,3.0,3.0,6,0
29186,13:30,6VLTE,1.92,2.93,0.487,0.056,13.954,1.213,1.233,0.01,5.0,4.0,9,0
13560,8:00,8BLTE,10.004,1.718,0.345,0.035,5.019,2.057,1.122,1.081,3.0,3.0,6,0
20707,0:30,6BLTE,21.827,4.143,1.195,0.107,24.48,1.546,1.283,0.01,5.0,4.0,9,0
4667,12:00,1BLTE,17.28,2.021,0.627,0.075,39.137,1.022,1.293,1.112,7.0,4.0,11,0
21346,4:30,4ALTE,0.202,0.404,0.006,0.003,0.055,0.022,1.011,1.011,1.0,1.0,2,0
32205,9:00,7CLTE,0.303,0.909,0.406,0.051,30.954,1.431,1.192,0.01,4.0,3.0,7,0
10228,9:30,6WLTE,0.796,5.97,0.705,0.056,14.666,0.97,1.104,0.01,4.0,2.0,6,1
33118,8:15,6ULTE,0.909,1.516,0.286,0.037,16.072,0.675,1.152,0.01,4.0,3.0,7,0
14378,9:15,3BLTE,16.37,2.223,0.455,0.056,16.261,0.96,1.233,1.132,5.0,5.0,10,0
29724,3:30,4BLTE,7.882,0.505,0.018,0.004,0.478,0.142,1.516,1.011,3.0,2.0,5,0
12181,16:45,7BLTE,0.404,1.011,0.205,0.038,11.114,0.525,1.354,0.01,5.0,3.0,8,0
7435,2:00,7BLTE,0.101,1.011,0.417,0.03,39.479,8.503,1.051,0.01,3.0,2.0,5,0
717,3:15,6VLTE,0.505,0.909,0.016,0.008,0.712,0.101,1.061,0.01,3.0,2.0,5,0
7447,20:30,2ALTE,0.199,0.398,0.041,0.018,0.281,0.1,0.995,0.01,1.0,1.0,2,1
20794,0:00,6CLTE,5.659,0.505,0.064,0.014,6.902,0.755,1.041,0.01,3.0,3.0,6,0
2411,5:45,10ALTE,2.886,0.498,0.11,0.017,7.393,0.344,1.025,1.005,3.0,2.0,5,1
27204,5:15,10ALTE,0.909,0.404,0.063,0.012,1.404,0.125,1.011,1.011,2.0,1.0,3,0
8830,3:15,3BLTE,6.164,0.808,0.107,0.032,12.64,0.547,1.081,1.021,4.0,3.0,7,0
10752,3:30,1ALTE,0.808,0.404,0.041,0.013,1.183,0.69,1.031,1.011,2.0,1.0,3,0
14116,4:00,8CLTE,0.404,0.404,0.022,0.009,0.615,0.196,1.011,1.011,1.0,2.0,3,0
10358,7:00,6BLTE,10.004,0.707,0.112,0.015,6.702,0.651,1.061,0.01,4.0,2.0,6,0
14994,8:45,7WLTE,1.095,2.388,0.324,0.031,3.772,0.44,1.104,0.01,5.0,3.0,8,1
22320,13:15,3CLTE,13.844,1.415,0.323,0.054,9.316,0.518,1.202,1.081,4.0,4.0,8,0
20000,6:15,6ALTE,1.415,0.505,0.133,0.018,3.871,0.266,1.021,0.01,3.0,2.0,5,0
7116,14:30,6ULTE,3.335,5.154,1.311,0.119,70.345,1.523,1.526,0.01,7.0,4.0,11,0
22569,10:15,6BLTE,19.098,13.238,6.587,0.566,53.419,45.061,1.233,0.01,5.0,4.0,9,0
29650,15:30,1BLTE,18.997,2.728,0.866,0.447,37.806,19.975,1.304,1.101,5.0,4.0,9,0
652,3:45,6CLTE,1.294,0.398,0.021,0.013,0.814,0.089,1.015,0.01,3.0,2.0,5,1
35599,7:30,8ALTE,10.913,1.213,0.667,0.054,7.912,0.706,1.172,1.031,5.0,3.0,8,0
2342,13:00,7VLTE,1.314,4.345,0.741,0.051,26.79,1.804,1.233,0.01,5.0,3.0,8,0
35728,9:45,4CLTE,13.541,2.021,0.473,0.071,15.033,1.292,1.243,1.182,5.0,4.0,9,0
6943,8:30,10CLTE,5.373,0.796,0.188,0.026,10.97,0.626,1.005,1.005,3.0,3.0,6,1
36318,22:45,6WLTE,1.819,3.436,0.347,0.049,15.203,1.838,1.253,0.01,5.0,4.0,9,0
20154,4:15,3BLTE,2.93,1.516,0.714,0.033,30.637,0.701,1.041,1.011,3.0,2.0,5,0
22113,13:00,7ALTE,0.404,0.909,0.243,0.038,21.203,0.645,1.142,0.01,4.0,3.0,7,0
27765,3:45,8ALTE,3.133,0.505,0.117,0.022,7.58,0.243,1.041,1.011,3.0,2.0,5,0
25158,5:15,7ULTE,0.199,0.896,0.039,0.008,2.844,0.276,1.025,0.01,3.0,2.0,5,1
7265,23:30,1BLTE,24.676,5.672,1.494,0.137,45.795,6.273,1.493,1.184,7.0,6.0,13,1
32783,13:15,7BLTE,0.606,1.92,0.804,0.066,22.102,12.148,1.374,0.01,6.0,3.0,9,0
3825,18:00,3BLTE,11.542,1.692,0.526,0.062,37.811,2.775,1.224,1.095,6.0,4.0,10,1
36199,9:30,2ALTE,2.324,0.707,0.11,0.035,5.253,0.361,1.021,0.01,2.0,2.0,4,0
21034,9:45,10ALTE,30.012,8.69,3.219,0.208,66.472,1.105,1.728,1.415,8.0,6.0,14,0
17466,13:15,9BLTE,4.042,0.505,0.044,0.041,4.978,0.42,1.051,1.021,3.0,2.0,5,0
30341,19:45,8BLTE,16.673,4.345,1.159,0.084,18.291,1.393,1.334,1.081,6.0,4.0,10,0
24104,5:00,7ULTE,0.697,3.284,0.564,0.061,11.777,1.101,1.114,0.01,4.0,2.0,6,1
15253,9:45,4ALTE,4.749,0.505,0.043,0.013,2.444,0.228,1.041,1.021,3.0,2.0,5,0
4915,6:00,4BLTE,8.286,1.516,0.877,0.025,60.106,3.596,1.081,1.011,3.0,2.0,5,0
30159,8:45,4ALTE,4.951,1.718,0.399,0.034,19.073,0.956,1.112,1.021,4.0,2.0,6,0
18481,23:00,3ALTE,3.638,0.606,0.059,0.013,2.753,0.204,1.031,1.011,3.0,2.0,5,0
